Coastline (Low Detail) N00.00.00.000 w000.00.00.000 N00.00.00.000 w000.00.00.000
N043.09.40.399 E006.37.80.900 N043.11.13.401 E006.35.47.900
N043.11.13.401 E006.35.47.900 N043.11.25.300 E006.33.20.901
N043.11.25.300 E006.33.20.901 N043.09.13.500 E006.29.48.001
N043.09.13.500 E006.29.48.001 N043.09.70.599 E006.24.80.899
N043.09.70.599 E006.24.80.899 N043.08.11.900 E006.21.58.601
N043.08.11.900 E006.21.58.601 N043.05.22.599 E006.21.44.798
N043.05.22.599 E006.21.44.798 N043.07.25.399 E006.16.27.001
N043.07.25.399 E006.16.27.001 N043.07.70.499 E006.11.59.798
N043.07.70.499 E006.11.59.798 N043.05.11.900 E006.09.19.400
N043.05.11.900 E006.09.19.400 N043.02.39.098 E006.08.58.401
N043.02.39.098 E006.08.58.401 N043.02.80.902 E006.10.13.598
N043.02.80.902 E006.10.13.598 N043.01.46.401 E006.09.29.998
N043.01.46.401 E006.09.29.998 N043.01.50.901 E006.05.34.400
N043.01.50.901 E006.05.34.400 N043.02.34.501 E006.05.32.899
N043.02.34.501 E006.05.32.899 N043.02.57.098 E006.07.46.499
N043.02.57.098 E006.07.46.499 N043.04.55.498 E006.07.18.001
N043.04.55.498 E006.07.18.001 N043.04.49.400 E006.01.18.001
N043.04.49.400 E006.01.18.001 N043.06.22.399 E006.00.14.799
N043.06.22.399 E006.00.14.799 N043.06.10.299 E005.55.26.799
N043.06.10.299 E005.55.26.799 N043.07.31.400 E005.55.18.001
N043.07.31.400 E005.55.18.001 N043.06.17.899 E005.53.10.399
N043.06.17.899 E005.53.10.399 N043.06.50.900 E005.54.43.301
N043.06.50.900 E005.54.43.301 N043.04.49.400 E005.53.50.899
N043.04.49.400 E005.53.50.899 N043.05.10.499 E005.56.21.001
N043.05.10.499 E005.56.21.001 N043.04.10.498 E005.56.44.902
N043.04.10.498 E005.56.44.902 N043.04.43.399 E005.53.17.999
N043.04.43.399 E005.53.17.999 N043.02.52.501 E005.51.32.900
N043.02.52.501 E005.51.32.900 N043.03.10.501 E005.49.38.798
N043.03.10.501 E005.49.38.798 N043.04.17.799 E005.47.16.300
N043.04.17.799 E005.47.16.300 N043.06.50.900 E005.48.34.301
N043.06.50.900 E005.48.34.301 N043.07.10.401 E005.46.20.798
N043.07.10.401 E005.46.20.798 N043.08.19.399 E005.46.20.999
N043.08.19.399 E005.46.20.999 N043.08.40.498 E005.41.41.899
N043.08.40.498 E005.41.41.899 N043.10.46.499 E005.41.23.798
N043.10.46.499 E005.41.23.798 N043.11.13.600 E005.37.26.800
N043.11.13.600 E005.37.26.800 N043.09.40.500 E005.36.17.798
N043.09.40.500 E005.36.17.798 N043.12.52.402 E005.32.60.000
N043.12.52.402 E005.32.60.000 N043.11.55.399 E005.29.57.001
N043.11.55.399 E005.29.57.001 N043.12.46.400 E005.27.17.798
N043.12.46.400 E005.27.17.798 N043.12.70.499 E005.27.50.900
N043.12.70.499 E005.27.50.900 N043.12.55.300 E005.20.80.699
N043.12.55.300 E005.20.80.699 N043.15.80.899 E005.22.28.402
N043.15.80.899 E005.22.28.402 N043.17.20.900 E005.20.43.299
N043.17.20.900 E005.20.43.299 N043.17.47.900 E005.22.25.600
N043.17.47.900 E005.22.25.600 N043.21.43.599 E005.18.44.899
N043.21.43.599 E005.18.44.899 N043.19.43.499 E005.13.14.901
N043.19.43.499 E005.13.14.901 N043.19.37.401 E005.02.57.001
N043.19.37.401 E005.02.57.001 N043.23.44.999 E004.59.10.399
N043.23.44.999 E004.59.10.399 N043.24.31.399 E005.03.20.901
N043.24.31.399 E005.03.20.901 N043.23.52.400 E004.58.59.901
N043.23.52.400 E004.58.59.901 N043.25.34.500 E004.58.11.798
N043.25.34.500 E004.58.11.798 N043.26.10.500 E004.55.59.999
N043.26.10.500 E004.55.59.999 N043.24.46.501 E004.53.20.900
N043.24.46.501 E004.53.20.900 N043.25.50.998 E004.53.43.501
N043.25.50.998 E004.53.43.501 N043.25.19.401 E004.52.59.902
N043.25.19.401 E004.52.59.902 N043.27.22.499 E004.51.29.901
N043.27.22.499 E004.51.29.901 N043.25.00.001 E004.52.40.300
N043.25.00.001 E004.52.40.300 N043.24.25.600 E004.51.51.001
N043.24.25.600 E004.51.51.001 N043.25.49.598 E004.49.53.699
N043.25.49.598 E004.49.53.699 N043.24.18.000 E004.51.25.402
N043.24.18.000 E004.51.25.402 N043.24.34.498 E004.50.15.000
N043.24.34.498 E004.50.15.000 N043.23.44.902 E004.50.40.499
N043.23.44.902 E004.50.40.499 N043.24.13.399 E004.51.26.899
N043.24.13.399 E004.51.26.899 N043.23.30.001 E004.51.10.299
N043.23.30.001 E004.51.10.299 N043.23.25.299 E004.51.90.101
N043.23.25.299 E004.51.90.101 N043.22.38.899 E004.50.22.099
N043.22.38.899 E004.50.22.099 N043.21.37.501 E004.53.20.900
N043.21.37.501 E004.53.20.900 N043.22.57.000 E004.55.10.301
N043.22.57.000 E004.55.10.301 N043.20.10.399 E004.51.33.001
N043.20.10.399 E004.51.33.001 N043.22.28.401 E004.50.11.699
N043.22.28.401 E004.50.11.699 N043.24.13.500 E004.46.48.000
N043.24.13.500 E004.46.48.000 N043.21.56.999 E004.49.55.301
N043.21.56.999 E004.49.55.301 N043.19.46.401 E004.50.35.902
N043.19.46.401 E004.50.35.902 N043.21.70.300 E004.46.14.902
N043.21.70.300 E004.46.14.902 N043.20.52.501 E004.39.38.999
N043.20.52.501 E004.39.38.999 N043.23.53.901 E004.40.55.402
N043.23.53.901 E004.40.55.402 N043.23.43.501 E004.38.32.899
N043.23.43.501 E004.38.32.899 N043.24.53.999 E004.39.46.501
N043.24.53.999 E004.39.46.501 N043.27.28.598 E004.36.42.001
N043.27.28.598 E004.36.42.001 N043.27.17.899 E004.33.28.400
N043.27.17.899 E004.33.28.400 N043.26.56.900 E004.35.10.399
N043.26.56.900 E004.35.10.399 N043.24.52.499 E004.35.59.999
N043.24.52.499 E004.35.59.999 N043.25.20.798 E004.36.58.399
N043.25.20.798 E004.36.58.399 N043.21.31.399 E004.37.12.000
N043.21.31.399 E004.37.12.000 N043.23.59.999 E004.36.49.399
